Order_ID,Order_Date,Product,Category,Region,Quantity,Unit_Price,Revenue
10052,2024-04-10,Gaming Chair,Furniture,North,9,5483,49347
10053,2024-08-30,Printer,Electronics,South,7,22913,160391
10054,2024-08-06,Microphone,Accessories,West,1,3897,3897
10055,2024-01-03,Hard Disk,Electronics,West,5,10454,52270
10056,2025-03-09,Speaker,Accessories,Central,8,4036,32288
10057,2024-10-30,Mouse,Accessories,South,1,549,549
10058,2024-02-28,Webcam,Accessories,North,10,4905,49050
10059,2025-06-27,Power Bank,Accessories,South,1,4860,4860
10060,2024-07-09,Printer,Electronics,North,10,9226,92260
10061,2025-02-17,Tablet,Electronics,North,10,26135,261350
10062,2025-08-31,Desk Lamp,Furniture,North,10,1171,11710
10063,2025-11-04,Router,Electronics,Central,10,9765,97650
10064,2024-09-24,Webcam,Accessories,South,6,2955,17730
10065,2025-02-09,Smartwatch,Accessories,South,5,16982,84910
10066,2024-03-15,Webcam,Accessories,North,8,6088,48704
10067,2024-04-12,Desk Lamp,Furniture,North,9,2246,20214
10068,2024-09-28,Power Bank,Accessories,South,6,1263,7578
10069,2025-01-13,Tablet,Electronics,East,3,38716,116148
10070,2025-12-21,Gaming Chair,Furniture,East,10,26429,264290
10071,2024-01-09,Power Bank,Accessories,Central,5,1548,7740
10072,2024-09-27,Monitor,Electronics,North,2,33327,66654
10073,2024-06-08,Gaming Chair,Furniture,East,5,24819,124095
10074,2024-12-17,Mouse,Accessories,South,5,2370,11850
10075,2024-09-14,Microphone,Accessories,North,2,11592,23184
10076,2024-10-10,Router,Electronics,North,1,6664,6664
10077,2025-10-14,Monitor,Electronics,East,3,33288,99864
10078,2025-07-18,Projector,Electronics,West,9,16267,146403
10079,2024-03-18,Headphones,Accessories,South,9,1295,11655
10080,2025-08-19,SSD,Electronics,Central,3,9041,27123
10081,2024-02-12,Monitor,Electronics,East,6,10307,61842
10082,2024-08-03,SSD,Electronics,South,2,7794,15588
10083,2025-02-20,Gaming Chair,Furniture,Central,3,12757,38271
10084,2024-06-30,Keyboard,Accessories,West,1,1234,1234
10085,2025-02-25,Webcam,Accessories,South,5,2304,11520
10086,2025-01-26,Headphones,Accessories,North,8,2822,22576
10087,2025-04-16,Mouse,Accessories,East,5,1232,6160
10088,2024-01-25,Tablet,Electronics,South,7,31512,220584
10089,2024-03-12,Smartwatch,Accessories,East,6,23020,138120
10090,2025-02-13,Power Bank,Accessories,Central,6,926,5556
10091,2024-09-24,Headphones,Accessories,South,10,3174,31740
10092,2024-04-21,Mobile,Electronics,Central,7,34654,242578
10093,2025-03-22,Webcam,Accessories,Central,9,1947,17523
10094,2025-08-13,Hard Disk,Electronics,South,5,3727,18635
10095,2024-01-02,Router,Electronics,Central,9,4428,39852
10096,2025-03-17,SSD,Electronics,North,6,7143,42858
10097,2024-11-03,Headphones,Accessories,Central,5,6463,32315
10098,2024-11-30,Router,Electronics,West,5,3285,16425
10099,2025-03-06,Mouse,Accessories,West,3,1532,4596
10100,2025-07-15,Hard Disk,Electronics,North,5,7700,38500
10101,2025-03-16,Mouse,Accessories,Central,10,1619,16190
10102,2025-03-28,Projector,Electronics,West,4,82000,328000
10103,2024-06-22,Microphone,Accessories,North,5,9645,48225
10104,2024-12-09,Office Chair,Furniture,North,4,14171,56684
10105,2024-07-22,Tablet,Electronics,South,1,13028,13028
10106,2025-05-01,Tablet,Electronics,Central,2,39846,79692
10107,2025-10-06,Router,Electronics,Central,4,7491,29964
10108,2025-02-13,Microphone,Accessories,South,3,11948,35844
10109,2024-04-19,Laptop,Electronics,West,4,56526,226104
10110,2025-04-20,Power Bank,Accessories,North,9,2741,24669
10111,2025-04-12,Headphones,Accessories,South,8,6468,51744
10112,2025-07-26,Power Bank,Accessories,Central,6,4325,25950
10113,2025-05-31,Office Chair,Furniture,West,9,18611,167499
10114,2025-05-01,Keyboard,Accessories,West,5,3579,17895
10115,2025-10-14,Tablet,Electronics,East,9,41758,375822
10116,2024-10-08,Tablet,Electronics,West,2,28725,57450
10117,2024-10-05,Tablet,Electronics,East,6,45399,272394
10118,2024-05-21,Printer,Electronics,South,4,19551,78204
10119,2025-12-24,Monitor,Electronics,South,2,22594,45188
10120,2024-12-04,Router,Electronics,Central,8,8012,64096
10121,2024-07-30,Mobile,Electronics,West,7,71299,499093
10122,2025-12-13,Desk Lamp,Furniture,North,10,3616,36160
10123,2024-01-07,Microphone,Accessories,East,5,7589,37945
10124,2025-07-05,Router,Electronics,Central,10,4813,48130
10125,2024-08-12,Microphone,Accessories,East,7,9156,64092
10126,2025-02-02,Laptop,Electronics,East,7,55816,390712
10127,2024-05-10,Projector,Electronics,Central,9,18534,166806
10128,2025-08-29,Hard Disk,Electronics,Central,1,4375,4375
10129,2024-05-18,Router,Electronics,West,3,2023,6069
10130,2025-01-23,Smartwatch,Accessories,East,4,16899,67596
10131,2024-12-11,Webcam,Accessories,West,5,4453,22265
10132,2024-03-24,Smartwatch,Accessories,West,1,19675,19675
10133,2024-12-24,Mobile,Electronics,South,2,63198,126396
10134,2024-02-01,Mobile,Electronics,South,4,66999,267996
10135,2025-09-28,Laptop,Electronics,South,4,53272,213088
10136,2025-11-16,Microphone,Accessories,North,10,4771,47710
10137,2025-12-17,Projector,Electronics,East,6,36992,221952
10138,2025-09-13,Office Chair,Furniture,North,3,14192,42576
10139,2025-08-15,Headphones,Accessories,North,5,5716,28580
10140,2025-02-10,Hard Disk,Electronics,South,2,12700,25400
10141,2024-04-14,Tablet,Electronics,East,10,17933,179330
10142,2024-02-12,Desk Lamp,Furniture,East,9,4009,36081
10143,2024-03-11,SSD,Electronics,Central,6,2207,13242
10144,2025-05-16,Router,Electronics,North,7,7134,49938
10145,2025-12-25,Projector,Electronics,South,7,38086,266602
10146,2025-10-28,Power Bank,Accessories,East,10,4660,46600
10147,2025-03-22,Projector,Electronics,Central,5,57245,286225
10148,2024-03-29,Tablet,Electronics,East,8,25981,207848
10149,2025-08-06,Projector,Electronics,Central,7,59092,413644
10150,2025-05-21,Laptop,Electronics,East,3,76952,230856
10151,2024-12-29,Mouse,Accessories,East,6,1445,8670
10152,2025-12-19,Office Chair,Furniture,East,9,4332,38988
10153,2024-07-14,Power Bank,Accessories,North,4,4029,16116
10154,2025-07-22,Microphone,Accessories,South,8,11782,94256
10155,2025-04-03,Microphone,Accessories,North,2,6020,12040
10156,2025-02-18,Tablet,Electronics,South,5,48112,240560
10157,2025-04-29,SSD,Electronics,Central,9,7632,68688
10158,2025-07-17,Router,Electronics,East,6,8634,51804
10159,2024-11-09,Smartwatch,Accessories,East,4,5953,23812
10160,2024-11-19,Mouse,Accessories,North,9,1058,9522
10161,2024-08-09,Mouse,Accessories,West,5,2448,12240
10162,2024-10-16,Office Chair,Furniture,North,4,13707,54828
10163,2025-01-04,Tablet,Electronics,South,5,10927,54635
10164,2024-05-09,Gaming Chair,Furniture,East,1,6786,6786
10165,2024-10-26,Gaming Chair,Furniture,South,8,8361,66888
10166,2025-08-10,Laptop,Electronics,East,8,76373,610984
10167,2024-12-14,Projector,Electronics,South,1,48092,48092
10168,2024-04-26,Microphone,Accessories,North,7,9256,64792
10169,2025-08-13,Printer,Electronics,North,3,11888,35664
10170,2024-11-07,Desk Lamp,Furniture,North,4,1470,5880
10171,2025-03-02,Gaming Chair,Furniture,Central,10,25264,252640
10172,2025-06-19,Tablet,Electronics,West,8,39014,312112
10173,2025-08-25,Speaker,Accessories,West,5,10816,54080
10174,2024-03-02,Office Chair,Furniture,Central,2,10808,21616
10175,2024-09-27,Mouse,Accessories,North,3,1282,3846
10176,2025-07-19,Keyboard,Accessories,North,3,510,1530
10177,2025-04-06,Router,Electronics,Central,8,5971,47768
10178,2024-08-25,Mobile,Electronics,East,5,58070,290350
10179,2024-03-13,Projector,Electronics,South,5,40928,204640
10180,2024-04-27,Router,Electronics,Central,4,3641,14564
10181,2024-05-25,Smartwatch,Accessories,North,1,7436,7436
10182,2025-09-01,Speaker,Accessories,Central,5,8695,43475
10183,2025-04-24,Headphones,Accessories,East,7,3230,22610
10184,2025-07-06,Power Bank,Accessories,West,8,1358,10864
10185,2024-02-10,Office Chair,Furniture,West,6,23782,142692
10186,2024-01-27,Smartwatch,Accessories,North,4,24095,96380
10187,2025-08-24,Desk Lamp,Furniture,North,5,829,4145
10188,2025-04-26,Keyboard,Accessories,Central,8,1639,13112
10189,2025-08-22,Keyboard,Accessories,West,8,873,6984
10190,2024-12-22,Microphone,Accessories,West,6,6460,38760
10191,2024-06-13,Headphones,Accessories,East,7,6682,46774
10192,2024-10-22,Microphone,Accessories,West,9,1801,16209
10193,2024-03-31,Projector,Electronics,East,5,57372,286860
10194,2025-02-17,Headphones,Accessories,Central,1,6387,6387
10195,2025-04-18,Gaming Chair,Furniture,West,1,11146,11146
10196,2025-01-05,Power Bank,Accessories,Central,8,4321,34568
10197,2024-07-27,Mobile,Electronics,East,9,20586,185274
10198,2025-03-24,Speaker,Accessories,West,2,1972,3944
10199,2024-09-02,Office Chair,Furniture,South,5,22049,110245
10200,2025-07-19,Laptop,Electronics,West,2,59725,119450
10201,2025-04-17,Headphones,Accessories,North,3,5082,15246
10202,2025-06-05,Speaker,Accessories,East,7,9405,65835
10203,2024-09-06,Microphone,Accessories,West,9,3569,32121
10204,2024-07-14,Hard Disk,Electronics,Central,9,5236,47124
10205,2024-10-09,Printer,Electronics,West,6,23637,141822
10206,2024-01-03,Smartwatch,Accessories,East,5,21232,106160
10207,2025-11-06,Desk Lamp,Furniture,West,3,4158,12474
10208,2025-05-10,Gaming Chair,Furniture,East,6,23085,138510
10209,2025-01-21,Gaming Chair,Furniture,West,6,11181,67086
10210,2025-08-08,Tablet,Electronics,West,4,36920,147680
10211,2024-11-21,Mobile,Electronics,West,7,37302,261114
10212,2025-05-22,Monitor,Electronics,North,3,25459,76377
10213,2024-12-05,Desk Lamp,Furniture,North,8,1316,10528
10214,2025-04-12,Power Bank,Accessories,North,3,4058,12174
10215,2024-03-17,Monitor,Electronics,West,5,20093,100465
10216,2025-12-10,Office Chair,Furniture,West,2,14766,29532
10217,2025-01-24,Gaming Chair,Furniture,East,8,22728,181824
10218,2025-09-24,Mobile,Electronics,North,4,53363,213452
10219,2024-08-20,Speaker,Accessories,North,7,3112,21784
10220,2025-03-30,Headphones,Accessories,South,5,1237,6185
10221,2024-11-28,Mobile,Electronics,North,5,35492,177460
10222,2025-03-17,SSD,Electronics,South,4,10702,42808
10223,2025-08-02,Router,Electronics,South,3,4068,12204
10224,2025-09-16,Printer,Electronics,West,10,14891,148910
10225,2025-08-20,Microphone,Accessories,South,4,8755,35020
10226,2025-04-15,Smartwatch,Accessories,East,1,17245,17245
10227,2025-11-24,Speaker,Accessories,Central,3,2710,8130
10228,2024-12-19,Projector,Electronics,Central,5,70615,353075
10229,2025-04-12,Smartwatch,Accessories,East,4,14605,58420
10230,2024-04-19,Microphone,Accessories,South,7,10570,73990
10231,2025-08-11,SSD,Electronics,East,5,2359,11795
10232,2024-10-08,Hard Disk,Electronics,North,10,14236,142360
10233,2025-09-12,Mobile,Electronics,West,5,62838,314190
10234,2025-09-13,Tablet,Electronics,East,4,22460,89840
10235,2024-09-13,Office Chair,Furniture,South,2,24560,49120
10236,2024-11-12,Mobile,Electronics,West,1,49982,49982
10237,2024-05-14,SSD,Electronics,North,5,7352,36760
10238,2024-06-28,Router,Electronics,South,3,7194,21582
10239,2025-05-28,Power Bank,Accessories,East,3,2805,8415
10240,2024-10-29,Microphone,Accessories,East,2,8873,17746
10241,2024-05-24,Printer,Electronics,South,7,18985,132895
10242,2025-02-08,Printer,Electronics,North,5,24582,122910
10243,2025-04-10,Headphones,Accessories,East,5,5788,28940
10244,2025-10-15,Hard Disk,Electronics,East,2,14056,28112
10245,2025-04-27,Tablet,Electronics,North,10,46792,467920
10246,2025-09-16,Webcam,Accessories,South,2,6205,12410
10247,2025-12-18,Projector,Electronics,East,7,30292,212044
10248,2024-02-16,Monitor,Electronics,North,5,25142,125710
10249,2024-04-09,Headphones,Accessories,South,9,2111,18999
10250,2025-04-09,Hard Disk,Electronics,East,9,9866,88794
10251,2024-06-07,Desk Lamp,Furniture,West,2,4508,9016
10252,2025-02-21,Office Chair,Furniture,East,1,16141,16141
10253,2025-03-30,Mouse,Accessories,West,4,1785,7140
10254,2025-12-03,Headphones,Accessories,East,9,6282,56538
10255,2024-03-03,SSD,Electronics,West,5,5109,25545
10256,2025-04-10,Headphones,Accessories,North,4,6256,25024
10257,2024-01-22,Office Chair,Furniture,North,6,11981,71886
10258,2025-08-01,Monitor,Electronics,South,2,34072,68144
10259,2024-07-31,Gaming Chair,Furniture,Central,4,12634,50536
10260,2024-05-31,Webcam,Accessories,Central,1,3271,3271
10261,2024-05-13,Monitor,Electronics,Central,5,14717,73585
10262,2025-11-07,Headphones,Accessories,North,3,1121,3363
10263,2024-08-31,SSD,Electronics,Central,6,2258,13548
10264,2024-09-28,Keyboard,Accessories,North,3,3538,10614
10265,2025-06-22,Router,Electronics,North,2,9002,18004
10266,2025-01-05,Projector,Electronics,Central,10,29293,292930
10267,2025-05-30,Projector,Electronics,South,10,20683,206830
10268,2024-11-04,Power Bank,Accessories,West,1,1198,1198
10269,2025-02-15,Microphone,Accessories,West,2,9232,18464
10270,2024-03-16,Projector,Electronics,North,6,34442,206652
10271,2024-05-09,Printer,Electronics,East,10,24968,249680
10272,2025-01-25,Webcam,Accessories,Central,9,3415,30735
10273,2025-06-01,Projector,Electronics,Central,7,27999,195993
10274,2025-11-01,Headphones,Accessories,Central,4,4523,18092
10275,2024-08-21,Projector,Electronics,West,6,74441,446646
10276,2025-03-01,Hard Disk,Electronics,North,6,9992,59952
10277,2025-11-12,Webcam,Accessories,East,6,2250,13500
10278,2024-03-09,Microphone,Accessories,North,2,2727,5454
10279,2024-04-08,Router,Electronics,East,3,2182,6546
10280,2025-07-29,Desk Lamp,Furniture,Central,6,1501,9006
10281,2024-12-28,Router,Electronics,West,1,5912,5912
10282,2024-11-15,Office Chair,Furniture,East,2,22937,45874
10283,2024-08-05,Power Bank,Accessories,South,8,2537,20296
10284,2024-12-24,Headphones,Accessories,Central,6,1941,11646
10285,2025-08-10,Smartwatch,Accessories,South,7,20381,142667
10286,2025-09-20,Office Chair,Furniture,Central,1,23955,23955
10287,2024-01-30,Smartwatch,Accessories,South,5,12124,60620
10288,2024-12-25,Webcam,Accessories,North,3,2173,6519
10289,2025-11-04,Desk Lamp,Furniture,West,2,1662,3324
10290,2024-04-03,Laptop,Electronics,Central,4,69654,278616
10291,2025-04-09,Router,Electronics,East,3,7262,21786
10292,2024-11-28,Speaker,Accessories,Central,10,2891,28910
10293,2024-06-08,Mobile,Electronics,South,10,15261,152610
10294,2024-10-05,Printer,Electronics,West,7,22914,160398
10295,2025-03-28,Office Chair,Furniture,West,5,11063,55315
10296,2024-04-26,Power Bank,Accessories,East,7,1608,11256
10297,2025-11-25,Speaker,Accessories,Central,8,10133,81064
10298,2024-02-16,Speaker,Accessories,South,7,11319,79233
10299,2024-01-08,Mobile,Electronics,South,5,73952,369760
10300,2024-05-20,Mouse,Accessories,East,5,1643,8215
10301,2024-01-08,Headphones,Accessories,West,7,2439,17073
10302,2025-01-24,Monitor,Electronics,Central,4,25392,101568
10303,2025-11-15,Gaming Chair,Furniture,East,2,18011,36022
10304,2025-03-22,Mobile,Electronics,North,8,72369,578952
10305,2024-11-16,Printer,Electronics,Central,7,20252,141764
10306,2024-10-23,Router,Electronics,North,7,1541,10787
10307,2024-06-24,Webcam,Accessories,Central,8,6649,53192
10308,2024-03-31,SSD,Electronics,West,2,5986,11972
10309,2025-08-26,Router,Electronics,West,9,2488,22392
10310,2024-11-13,Hard Disk,Electronics,East,4,8456,33824
10311,2024-03-19,Keyboard,Accessories,Central,2,2673,5346
10312,2024-07-17,Power Bank,Accessories,East,6,1909,11454
10313,2024-04-15,Tablet,Electronics,South,5,22928,114640
10314,2025-09-08,Keyboard,Accessories,South,2,1225,2450
10315,2025-04-20,Microphone,Accessories,Central,10,8554,85540
10316,2025-10-20,Desk Lamp,Furniture,Central,6,3089,18534
10317,2025-03-26,Monitor,Electronics,North,8,23490,187920
10318,2024-10-08,Speaker,Accessories,Central,1,7266,7266
10319,2024-03-16,Power Bank,Accessories,East,8,4402,35216
10320,2024-02-28,Mobile,Electronics,East,5,17028,85140
10321,2025-09-21,Printer,Electronics,Central,9,19598,176382
10322,2025-08-17,Projector,Electronics,Central,1,73947,73947
10323,2025-10-29,Desk Lamp,Furniture,South,6,4396,26376
10324,2024-06-03,Power Bank,Accessories,North,8,1547,12376
10325,2024-03-27,Webcam,Accessories,Central,3,1320,3960
10326,2025-12-25,Tablet,Electronics,West,8,44345,354760
10327,2025-09-16,Power Bank,Accessories,South,6,3754,22524
10328,2025-01-31,Speaker,Accessories,West,6,12623,75738
10329,2024-02-23,Office Chair,Furniture,East,2,14803,29606
10330,2025-07-25,Headphones,Accessories,West,5,3064,15320
10331,2024-06-02,Office Chair,Furniture,East,2,23095,46190
10332,2024-12-24,Monitor,Electronics,East,7,13225,92575
10333,2025-12-26,Office Chair,Furniture,North,5,22314,111570
10334,2025-10-20,Hard Disk,Electronics,East,3,13979,41937
10335,2024-04-05,Power Bank,Accessories,West,9,3664,32976
10336,2025-01-06,Laptop,Electronics,East,3,59037,177111
10337,2025-05-12,Webcam,Accessories,South,4,2126,8504
10338,2024-03-20,Monitor,Electronics,East,2,25635,51270
10339,2025-06-23,Gaming Chair,Furniture,North,6,25251,151506
10340,2025-09-03,Monitor,Electronics,West,3,14316,42948
10341,2025-12-10,Keyboard,Accessories,Central,3,3453,10359
10342,2024-02-14,Projector,Electronics,West,6,46133,276798
10343,2025-09-17,Projector,Electronics,East,8,45671,365368
10344,2024-09-01,Gaming Chair,Furniture,East,8,11357,90856
10345,2025-11-25,SSD,Electronics,Central,8,9564,76512
10346,2025-01-26,Speaker,Accessories,Central,9,8359,75231
10347,2024-07-23,Keyboard,Accessories,Central,3,1524,4572
10348,2025-10-18,Mobile,Electronics,West,6,48342,290052
10349,2025-12-29,Headphones,Accessories,Central,2,3335,6670
10350,2024-06-13,Printer,Electronics,East,8,23821,190568
10351,2025-03-23,Monitor,Electronics,North,4,23782,95128
10352,2024-01-28,SSD,Electronics,West,1,8495,8495
10353,2025-01-17,Power Bank,Accessories,South,7,1368,9576
10354,2024-08-17,SSD,Electronics,North,6,3623,21738
10355,2024-05-29,Webcam,Accessories,South,1,3350,3350
10356,2025-12-13,Microphone,Accessories,South,8,8549,68392
10357,2024-01-06,Office Chair,Furniture,North,1,12386,12386
10358,2024-06-02,Mouse,Accessories,Central,10,2461,24610
10359,2024-04-23,Router,Electronics,East,4,6134,24536
10360,2024-02-18,Headphones,Accessories,South,7,6234,43638
10361,2025-04-13,Office Chair,Furniture,North,2,20378,40756
10362,2025-07-02,Office Chair,Furniture,North,9,22843,205587
10363,2024-05-27,Tablet,Electronics,East,7,10102,70714
10364,2024-12-27,Office Chair,Furniture,South,10,17650,176500
10365,2025-11-11,Keyboard,Accessories,North,9,1977,17793
10366,2025-06-22,Printer,Electronics,Central,9,23633,212697
10367,2024-01-21,Gaming Chair,Furniture,West,8,6426,51408
10368,2025-01-17,Hard Disk,Electronics,East,1,8850,8850
10369,2024-12-19,Printer,Electronics,South,2,17895,35790
10370,2024-02-15,Monitor,Electronics,East,9,20093,180837
10371,2025-12-02,Keyboard,Accessories,West,8,3087,24696
10372,2024-05-18,Keyboard,Accessories,North,8,651,5208
10373,2024-07-25,Speaker,Accessories,North,4,2186,8744
10374,2024-11-13,Webcam,Accessories,Central,7,5448,38136
10375,2024-09-16,Microphone,Accessories,North,4,5887,23548
10376,2024-02-18,SSD,Electronics,East,5,4039,20195
10377,2025-03-23,SSD,Electronics,West,8,8334,66672
10378,2024-07-10,Webcam,Accessories,West,8,4009,32072
10379,2024-09-30,Power Bank,Accessories,North,7,1346,9422
10380,2025-09-08,Router,Electronics,South,9,6013,54117
10381,2024-04-15,Webcam,Accessories,North,6,6414,38484
10382,2024-11-09,Speaker,Accessories,West,10,13258,132580
10383,2024-06-19,Router,Electronics,West,6,8525,51150
10384,2024-12-27,Mobile,Electronics,Central,7,29993,209951
10385,2024-03-17,Mobile,Electronics,West,6,45625,273750
10386,2024-02-01,Keyboard,Accessories,South,10,3277,32770
10387,2024-02-05,Projector,Electronics,South,2,45932,91864
10388,2025-01-05,SSD,Electronics,West,10,2530,25300
10389,2024-06-06,Office Chair,Furniture,West,6,16190,97140
10390,2024-03-19,Projector,Electronics,Central,3,84397,253191
10391,2025-02-11,SSD,Electronics,East,5,6089,30445
10392,2024-01-27,Headphones,Accessories,South,8,5241,41928
10393,2025-07-29,Hard Disk,Electronics,North,5,7264,36320
10394,2024-08-07,Projector,Electronics,Central,5,79382,396910
10395,2024-05-05,Mouse,Accessories,South,2,2151,4302
10396,2025-12-31,Keyboard,Accessories,West,2,3819,7638
10397,2025-11-14,Webcam,Accessories,East,2,5505,11010
10398,2024-10-24,Gaming Chair,Furniture,East,3,28324,84972
10399,2025-01-05,Keyboard,Accessories,Central,4,997,3988
10400,2024-05-22,Mouse,Accessories,South,8,407,3256
10401,2025-07-21,SSD,Electronics,Central,6,9657,57942
10402,2024-05-12,Gaming Chair,Furniture,Central,2,7154,14308
10403,2025-02-11,Speaker,Accessories,West,9,8230,74070
10404,2025-08-11,Router,Electronics,North,3,6394,19182
10405,2025-04-05,Printer,Electronics,West,9,18289,164601
10406,2025-07-18,Monitor,Electronics,Central,3,34158,102474
10407,2025-03-19,Monitor,Electronics,Central,1,13068,13068
10408,2024-06-05,Power Bank,Accessories,East,3,2026,6078
10409,2025-12-27,Webcam,Accessories,South,6,5250,31500
10410,2024-03-21,Speaker,Accessories,East,4,11904,47616
10411,2024-10-08,Gaming Chair,Furniture,South,5,25133,125665
10412,2024-04-05,Gaming Chair,Furniture,Central,3,24392,73176
10413,2024-06-06,Desk Lamp,Furniture,South,10,3265,32650
10414,2024-02-12,Desk Lamp,Furniture,North,2,872,1744
10415,2024-09-28,Desk Lamp,Furniture,South,10,3912,39120
10416,2025-10-16,Office Chair,Furniture,North,8,24550,196400
10417,2024-10-23,Gaming Chair,Furniture,East,8,13024,104192
10418,2024-10-31,Hard Disk,Electronics,West,2,14282,28564
10419,2024-06-10,Mobile,Electronics,West,7,43735,306145
10420,2024-07-27,Projector,Electronics,East,10,33830,338300
10421,2024-11-22,Webcam,Accessories,East,7,2071,14497
10422,2025-06-11,SSD,Electronics,Central,2,7228,14456
10423,2025-04-22,Tablet,Electronics,North,5,39464,197320
10424,2024-05-24,Tablet,Electronics,North,1,29019,29019
10425,2025-09-22,Hard Disk,Electronics,West,4,5616,22464
10426,2025-08-14,Webcam,Accessories,East,4,2305,9220
10427,2025-06-11,Microphone,Accessories,West,8,6255,50040
10428,2024-01-24,Microphone,Accessories,North,7,9481,66367
10429,2024-09-03,Projector,Electronics,South,10,61254,612540
10430,2024-02-21,Mobile,Electronics,East,8,51158,409264
10431,2024-10-19,Microphone,Accessories,Central,1,2961,2961
10432,2024-05-17,Router,Electronics,East,6,7806,46836
10433,2024-02-16,SSD,Electronics,West,1,11343,11343
10434,2024-07-18,Gaming Chair,Furniture,East,9,14456,130104
10435,2025-01-30,Printer,Electronics,Central,8,16165,129320
10436,2025-11-27,Office Chair,Furniture,Central,2,8216,16432
10437,2025-02-07,Headphones,Accessories,East,6,5569,33414
10438,2024-05-27,SSD,Electronics,South,10,10341,103410
10439,2025-05-27,Hard Disk,Electronics,North,1,3637,3637
10440,2025-12-31,Monitor,Electronics,East,8,26017,208136
10441,2024-06-01,Projector,Electronics,Central,9,33321,299889
10442,2025-09-19,Webcam,Accessories,East,3,4219,12657
10443,2024-11-02,Office Chair,Furniture,Central,6,20623,123738
10444,2025-06-29,Power Bank,Accessories,West,10,3155,31550
10445,2024-01-18,Microphone,Accessories,East,6,2995,17970
10446,2025-08-20,Router,Electronics,East,1,8975,8975
10447,2025-11-02,Smartwatch,Accessories,Central,10,9456,94560
10448,2025-08-20,Mobile,Electronics,West,3,46356,139068
10449,2025-01-24,Office Chair,Furniture,South,4,5034,20136
10450,2025-12-18,Desk Lamp,Furniture,North,4,655,2620
10451,2024-11-17,Projector,Electronics,West,3,69127,207381
10452,2025-02-24,Mouse,Accessories,Central,10,2231,22310
10453,2025-12-23,Mobile,Electronics,South,9,25588,230292
10454,2024-11-28,Gaming Chair,Furniture,West,9,17347,156123
10455,2024-06-26,Webcam,Accessories,West,9,3804,34236
10456,2024-12-28,Gaming Chair,Furniture,East,10,20865,208650
